prompt,response
What are the different BGP states?,"Idle, Connect, Active, OpenSent, OpenConfirm, Established."
In which BGP state do routers exchange routing information?,Established state.
What is a BGP neighbor (or peer)?,A BGP neighbor (or peer) is a router that has established a BGP session with another router to exchange routing information.
What are BGP Path Attributes?,"BGP Path Attributes are properties associated with a route, used by BGP to determine the best path to a destination."
Name some common BGP Path Attributes.,"NEXT_HOP, AS_PATH, LOCAL_PREF, MED (Multi-Exit Discriminator), ORIGIN, COMMUNITY, WEIGHT."
What is the AS_PATH attribute?,The AS_PATH attribute is a list of ASNs through which a route has passed to reach the destination. It's used for loop prevention.
What is the NEXT_HOP attribute?,The NEXT_HOP attribute specifies the IP address of the next router to which traffic should be sent to reach the destination network.
What is the LOCAL_PREF attribute?,LOCAL_PREF is an iBGP attribute used to prefer an exit path out of an AS. Higher LOCAL_PREF is preferred.
What is the MED (Multi-Exit Discriminator) attribute?,MED is an eBGP attribute used to influence how other ASes route traffic into your AS when there are multiple entry points. Lower MED is preferred.
What is the ORIGIN attribute?,"The ORIGIN attribute indicates how a route was introduced into BGP (IGP, EGP, Incomplete)."
What is the WEIGHT attribute?,WEIGHT is a Cisco-proprietary attribute used locally on a router to prefer a specific path. Higher WEIGHT is preferred.
What is the BGP Best Path Selection Algorithm?,A complex algorithm used by BGP to choose the single best path among multiple possible paths to a destination.
List the first three steps of the BGP Best Path Algorithm (simplified).,1. Prefer path with largest WEIGHT. 2. Prefer path with largest LOCAL_PREF. 3. Prefer path originated by the local router (or through 'network' command).
What is route dampening in BGP?,Route dampening is a mechanism to suppress the advertisement of unstable routes to prevent routing churn.
What is a BGP Community attribute?,"A BGP Community is a tag that can be attached to BGP routes to group them and apply common policies (e.g., no-export, no-advertise)."
What is a standard BGP Community?,"A 32-bit value in the format `ASN:VALUE` (e.g., 65000:100)."
What are well-known BGP Communities?,"NO_EXPORT, NO_ADVERTISE, LOCAL_AS."
What is the `network` command in BGP configuration used for?,To inject routes from the router's routing table into the BGP table.
What is a BGP router ID?,A 32-bit value (typically an IP address) that uniquely identifies a BGP router within an AS.
How is the BGP router ID determined?,"Highest IP address on a loopback interface, or highest IP address on an active physical interface, or manually configured."
What is a BGP confederation?,A BGP confederation divides a large AS into multiple sub-ASes to reduce the number of iBGP full-mesh connections required.
What is a BGP Route Reflector (RR)?,"A Route Reflector is an iBGP router that can reflect routes learned from one iBGP peer to other iBGP peers, eliminating the need for a full iBGP mesh."
What is a Route Reflector Client?,An iBGP peer that receives reflected routes from a Route Reflector.
What is a Route Reflector Non-Client?,An iBGP peer that is not a client of a Route Reflector; it must maintain a full mesh with other non-clients (or connect to another RR).
What is BGP synchronization?,A rule that prevents a router from advertising an iBGP-learned route to an eBGP peer unless that route is also learned via an IGP within the AS.
Is BGP synchronization enabled by default in modern BGP implementations?,"No, it is typically disabled by default or not applicable in modern BGP networks, especially with full iBGP mesh or Route Reflectors."
What is the maximum number of hops for iBGP peers?,"There is no theoretical hop limit for iBGP peers, only IP reachability is required."
What is the purpose of `next-hop-self` in iBGP?,"To change the NEXT_HOP attribute for iBGP-learned routes to the local router's IP address when advertising to other iBGP peers, ensuring reachability."
What is the `soft-reconfiguration` command used for in BGP?,To allow a router to re-process incoming BGP updates from a peer without tearing down the BGP session.
What is a Prefix List in BGP?,A Prefix List is a sequential list of IP prefixes used to filter BGP routes based on network address and mask length.
What is a Route Map in BGP?,"A Route Map is a powerful and flexible tool used to apply policies to BGP routes, allowing matching based on various criteria and setting attributes."
What is BGP graceful restart?,"A feature that allows a BGP speaker to temporarily retain its forwarding state and routing information during a planned restart or temporary outage, minimizing traffic disruption."
What is BGP multi-pathing?,"A feature that allows a BGP speaker to install multiple equally good paths to a destination into the routing table, enabling load sharing."
What is the difference between BGP `origin` and `network` command?,`origin` is a path attribute indicating how a route entered BGP. `network` command is a configuration command to inject a route into BGP.
What is BGP Conditional Advertisement?,A feature that allows a BGP router to advertise a route only if another specific route exists (or does not exist) in the routing table.
What is the BGP peering reset (hard reset)?,"Tearing down and re-establishing the BGP TCP session, clearing all routing information exchanged with that peer."
What is BGP `outbound route filtering` (ORF)?,"A feature that allows a BGP peer to send its outbound filtering rules (e.g., prefix lists) to its neighbor, so the neighbor doesn't send unwanted routes."
What is BGP `remove-private-AS`?,"A configuration option that removes private ASNs from the AS_PATH attribute when advertising routes to an eBGP peer, preventing private ASNs from being propagated on the Internet."
What is BGP TTL Security?,"A security feature that sets the TTL for eBGP packets to 255 and verifies the inbound TTL is 255, protecting against off-net attackers and some forms of spoofing."
What is the primary motivation for using BGP in a large enterprise network?,"To implement complex routing policies, enable multi-homing to multiple ISPs, and gain more control over inbound/outbound traffic flows."
What is multi-homing with BGP?,"Connecting an AS to more than one upstream ISP, typically using BGP to exchange routes for redundancy and traffic engineering."
What is the purpose of `maximum-prefix` in BGP configuration?,"To limit the number of prefixes accepted from a BGP peer, preventing malicious or misconfigured peers from overwhelming the routing table."
What is BGP route flap?,"Rapid and repeated withdrawal and advertisement of a route, causing instability in the routing table."
How can you mitigate BGP route flap?,"Through route dampening, more stable peerings, and careful policy configuration."
What is a BGP confederation peer?,"A BGP peer within the same confederation, but in a different sub-AS. They exchange routes as if they were iBGP peers, but use eBGP rules."
What is MPLS BGP VPN?,A technology where BGP is used to exchange VPN routing information (VPNv4 routes) between Provider Edge (PE) routers over an MPLS core network.
What are BGP extended communities?,"An extension to standard communities, offering more bits (64-bit) for more complex policy tagging and transitive properties across AS boundaries."
What is BGP loop detection based on?,"The AS_PATH attribute. If a BGP router receives an update with its own ASN in the AS_PATH, it discards the route to prevent a loop."
What is `originator-id` in BGP?,"An optional, non-transitive attribute added by a Route Reflector to a reflected route, indicating the router ID of the actual originator of the route within the AS."
What is `cluster-list` in BGP?,"An optional, transitive attribute added by a Route Reflector to a reflected route, indicating the cluster IDs that the route has traversed."
What is `administrative distance` for BGP?,"The administrative distance (AD) for eBGP is 20, and for iBGP is 200 (Cisco defaults). It's used to prefer routes learned via other protocols over BGP or vice-versa."
When does BGP advertise routes?,"When a BGP neighbor session is established, and whenever there's a change in the routing information (new route, withdrawn route, attribute change)."
What is the `aggregate-address` command in BGP used for?,"To create a single, summarized route (aggregate) from more specific routes within the BGP table, reducing the size of routing tables."
What are the types of BGP aggregation?,Summary-only (advertises only the aggregate) and detailed (advertises aggregate and more specific routes).
What is BGP graceful shutdown?,"A mechanism to gracefully remove a BGP peer from service, signaling to its neighbors to gradually stop sending traffic, often using BGP communities or well-known attributes."
What is BGP VPNv4 address family?,"An address family used in MPLS VPNs where BGP carries VPN routes, including both the IPv4 prefix and a Route Distinguisher (RD)."
What are common troubleshooting commands for BGP neighbor adjacency?,"`show ip bgp summary`, `show ip bgp neighbors`, `debug ip bgp`."
What does 'stuck in active' mean in BGP?,"A BGP state where a router is continuously attempting to establish a session with a peer but failing, often due to network reachability issues or incorrect peering configuration."
What is the role of an IGP when running iBGP?,"An IGP ensures IP reachability between iBGP peers, which do not need to be directly connected."
Can BGP be used for internal routing within a single AS?,"Yes, iBGP is used for internal routing, but it's typically combined with an IGP that handles the actual forwarding path."
What is the difference between `next-hop-self` and `allowas-in`?,"`next-hop-self` manipulates the next-hop attribute for iBGP. `allowas-in` allows a router to accept routes that contain its own ASN in the AS_PATH, typically for specific scenarios like multi-homed customers."
What is BGP route poisoning?,A method where a router advertises a route with an unreachable metric or removes it from its BGP table to indicate that the route is no longer valid.
What does OSPF stand for?,OSPF stands for Open Shortest Path First.
Is OSPF an Interior Gateway Protocol (IGP) or an Exterior Gateway Protocol (EGP)?,OSPF is an IGP (Interior Gateway Protocol).
What type of routing protocol is OSPF?,OSPF is a link-state routing protocol.
What is the primary advantage of link-state routing protocols like OSPF?,"They have a complete topology map, which allows for faster convergence and loop-free paths."
What transport layer protocol does OSPF use?,"OSPF directly uses IP, protocol number 89 (it does not use TCP or UDP)."
What is the OSPF metric based on?,"The OSPF metric is based on 'cost,' which is inversely proportional to interface bandwidth."
What is the default reference bandwidth for OSPF cost calculation on Cisco routers?,100 Mbps (10^8 bps).
How is the cost of an OSPF interface calculated?,"Cost = Reference Bandwidth / Interface Bandwidth (e.g., 100 Mbps / 10 Mbps = 10)."
What is an OSPF Router ID?,A 32-bit value (typically an IP address) that uniquely identifies an OSPF router within an AS.
How is the OSPF Router ID determined?,"Highest IP address on a loopback interface, or highest IP address on an active physical interface, or manually configured."
What are the two main OSPF packet types (excluding Hello, DBD
What is the purpose of Hello packets in OSPF?,"To discover neighbors, establish adjacency, and maintain the neighbor relationship."
What is the purpose of Database Description (DBD) packets?,To summarize the link-state database (LSDB) during the adjacency establishment process.
What is the purpose of Link-State Request (LSR) packets?,To request more detailed information about specific LSAs during LSDB synchronization.
What is the purpose of Link-State Update (LSU) packets?,"To reliably exchange LSAs between neighbors, containing full LSA information."
What is the purpose of Link-State Acknowledgment (LSAck) packets?,"To acknowledge the receipt of LSU packets, ensuring reliable LSA exchange."
What are the different OSPF neighbor states?,"Down, Init, 2-Way, ExStart, Exchange, Loading, Full."
In which OSPF state do neighbors become 'full' and exchange routing information?,Full state.
What is the function of the Designated Router (DR) in an OSPF multi-access network?,The DR is responsible for originating LSAs on behalf of the segment and maintaining the adjacency with all other routers on that segment.
What is the function of the Backup Designated Router (BDR) in an OSPF multi-access network?,The BDR monitors the DR and takes over its role if the DR fails.
Why are DR/BDR elected in multi-access networks?,"To reduce the number of adjacencies and LSA exchanges, optimizing efficiency."
How is the DR elected in OSPF?,"Based on the highest OSPF Router ID. If Router IDs are equal, then highest OSPF priority (default 1) on the interface."
What is an OSPF area?,An OSPF area is a logical grouping of routers and networks that share the same link-state database.
What is the main advantage of using OSPF areas?,"It reduces the size of the LSDB, limits LSA flooding, and improves scalability and stability."
What is the backbone area in OSPF?,"Area 0 (or 0.0.0.0), which is the central area through which all other non-backbone areas must connect."
What is an Internal Router in OSPF?,A router that has all its interfaces within the same OSPF area.
What is an Area Border Router (ABR) in OSPF?,A router that connects one or more non-backbone areas to the backbone area (Area 0).
What is an Autonomous System Boundary Router (ASBR) in OSPF?,"A router that connects an OSPF AS to an external network (e.g., another AS running BGP) and performs route redistribution."
What are the different OSPF LSA types?,"Type 1 (Router LSA), Type 2 (Network LSA), Type 3 (Summary LSA), Type 4 (ASBR Summary LSA), Type 5 (AS External LSA), Type 7 (NSSA External LSA)."
What does a Type 1 LSA describe?,"A Type 1 LSA (Router LSA) describes the router's directly connected links, their state, and cost, and is flooded only within its area."
What does a Type 2 LSA describe?,"A Type 2 LSA (Network LSA) describes the network (segment) itself, including the DR and attached routers, flooded only within its area."
What does a Type 3 LSA describe?,"A Type 3 LSA (Summary LSA) describes networks from other areas, generated by ABRs and flooded inter-area."
What does a Type 4 LSA describe?,"A Type 4 LSA (ASBR Summary LSA) describes how to reach an ASBR, generated by ABRs and flooded inter-area."
What does a Type 5 LSA describe?,"A Type 5 LSA (AS External LSA) describes routes learned from outside the OSPF AS, generated by ASBRs and flooded throughout the entire OSPF AS (except stub areas)."
What does a Type 7 LSA describe?,"A Type 7 LSA (NSSA External LSA) describes external routes originating from a Not So Stubby Area (NSSA), converted to Type 5 by the NSSA ABR."
What is a Standard Area in OSPF?,"A standard area allows Type 1, 2, 3, 4, 5 LSAs and can connect to the backbone."
What is a Stub Area in OSPF?,A stub area does not allow Type 5 LSAs (external routes) and injects a default route for external destinations. It's connected to Area 0 by an ABR.
What is a Totally Stubby Area in OSPF?,"A totally stubby area does not allow Type 4 or Type 5 LSAs, and converts all inter-area (Type 3) and external (Type 5) routes into a default route (0.0.0.0/0)."
What is a Not So Stubby Area (NSSA) in OSPF?,An NSSA is similar to a stub area but allows the injection of external routes (as Type 7 LSAs) into the OSPF domain from an ASBR within the NSSA.
What is a Virtual Link in OSPF?,A virtual link is a logical connection used to connect a disconnected OSPF area to the backbone area (Area 0) or to connect two ABRs over a non-backbone area.
When would you use a Virtual Link?,"When a non-backbone area is not directly connected to Area 0, or when the backbone itself is segmented."
What is OSPF route summarization?,"Consolidating multiple specific routes into a single, broader route advertisement to reduce routing table size."
Where can route summarization be performed in OSPF?,At ABRs (for inter-area routes - Type 3 LSAs) and ASBRs (for external routes - Type 5 LSAs).
What is the SPF (Shortest Path First) algorithm?,"Also known as Dijkstra's algorithm, it calculates the shortest path to all destinations from a specific router, building the SPF tree."
When does the SPF algorithm run?,"Whenever there is a change in the LSDB (e.g., link status change, LSA update)."
What is OSPF route redistribution?,"Injecting routes learned from another routing protocol (or static routes) into the OSPF domain, performed by an ASBR."
What are the two types of external routes in OSPF after redistribution?,Type 1 (E1) and Type 2 (E2).
What is the difference between E1 and E2 external routes?,"E1 cost includes the external cost plus internal OSPF cost to the ASBR. E2 cost is only the external cost, remaining constant regardless of distance from ASBR."
Which external route type (E1/E2) is preferred if costs are equal?,"E1 routes are generally preferred over E2 routes if multiple paths exist, due to their more accurate end-to-end cost calculation."
What is OSPF authentication?,"A security feature that verifies the identity of OSPF neighbors before forming an adjacency, preventing unauthorized routers from participating."
What are the OSPF authentication types?,"Null (no authentication), Plaintext, and MD5 (Message Digest 5)."
Which OSPF authentication type is recommended?,MD5 is recommended as it encrypts the authentication key within the OSPF packet.
What is a common reason for OSPF neighbor adjacency issues?,"Mismatched Hello/Dead timers, mismatched network types, mismatched OSPF authentication, or IP connectivity issues."
What command is used to check OSPF neighbors on Cisco routers?,`show ip ospf neighbor`.
What command is used to check the OSPF routing table on Cisco routers?,`show ip route ospf`.
What command is used to check the OSPF link-state database on Cisco routers?,`show ip ospf database`.
What is the purpose of `passive-interface` in OSPF?,"To prevent OSPF Hello packets from being sent out of an interface, but still advertise networks connected to it."
When should you use `passive-interface`?,On interfaces connected to end-user segments where no other OSPF routers are expected.
What is the `network` command in OSPF configuration used for?,To specify which interfaces participate in OSPF and which networks are advertised.
What is the concept of a 'stub router' in OSPF?,A router that is only connected to one other router (like a leaf node) and typically advertises a default route to its neighbor.
What is the difference between `router ospf process-id` and `router-id` command?,`process-id` is a local arbitrary number for the OSPF process. `router-id` is the unique 32-bit identifier for the router in the OSPF domain.
What is `max-metric router-lsa` (or `max-metric summary-lsa`) in OSPF?,"A command to set the router's self-originated LSA (or summary LSAs) to an infinite metric, causing other routers to avoid routing traffic through it (e.g., during maintenance)."
What is the function of the OSPF 'cost' on a multi-access segment?,It determines the preference for using that interface to reach destinations on the segment.
What is the OSPF neighbor state progression to FULL?,Down -> Init -> 2-Way -> ExStart -> Exchange -> Loading -> Full.
Can OSPF run over a non-broadcast multi-access (NBMA) network?,"Yes, but requires specific network type configuration (e.g., `ip ospf network non-broadcast` and static neighbor configuration)."
What is the concept of OSPF `network type`?,"It defines how OSPF interacts with the underlying data link layer (e.g., Broadcast, Non-Broadcast, Point-to-Point, Point-to-Multipoint)."
Why is OSPF `network type` important to match between neighbors?,Mismatched network types can prevent adjacency formation due to differences in DR/BDR election logic or Hello packet handling.
What is OSPF `virtual private network` (VPN) integration?,OSPF can be used as the routing protocol within MPLS/BGP VPNs to exchange VPN routing information between customer sites and provider edge routers.
What is the purpose of the `area range` command in OSPF?,Used on ABRs to summarize a range of routes from a non-backbone area before advertising them into the backbone area.
What is `ip ospf priority` used for?,To influence DR/BDR election on multi-access networks. Higher priority is preferred.
What is a common reason for `DR/BDR election` failure?,All routers having an OSPF priority of 0 (making them ineligible) or mismatched network types.
What is the maximum number of areas recommended for an OSPF domain?,"It depends on network size and complexity, but generally keeping the number of areas manageable (e.g., tens to hundreds) is good practice."
What happens if an OSPF area is not connected to Area 0?,"It becomes an isolated area, and routers in that area cannot reach destinations in other areas or the Internet unless a virtual link is configured."
What is a 'stub router' in OSPF?,A router that is only connected to one other router (like a leaf node) and typically advertises a default route to its neighbor.
What is the maximum number of links per OSPF router supported?,"Varies by router model and memory, but can be hundreds or thousands of links."
What is the difference between `clear ip ospf process` and `clear ip ospf neighbor`?,`clear ip ospf process` restarts the entire OSPF process on the router. `clear ip ospf neighbor` only resets the adjacency with specific neighbors.
What is the significance of the `dead interval` in OSPF Hello packets?,It's the time a router will wait for a Hello packet from a neighbor before declaring the neighbor down.
What is the default `dead interval` in OSPF?,"4 times the Hello interval (e.g., 40 seconds for broadcast networks)."
Can OSPF authenticate neighbors with different authentication types simultaneously?,"No, all neighbors on an interface must use the same authentication type."
What is the role of a passive interface in OSPF?,It includes the connected network in OSPF advertisements but prevents OSPF Hello packets from being sent out of that interface.
Why might you see Type 1 or Type 2 LSAs from a neighbor even if you are not 'full'?,"In the 2-Way state, routers know each other, but have not yet synchronized their LSDBs. LSAs are exchanged in later states."
What is a flooding scope of a Type 1 LSA?,The LSA is flooded only within the area it originated from.
What is a flooding scope of a Type 5 LSA?,The LSA is flooded throughout the entire OSPF AS (all areas except Stub and Totally Stubby).
What is the purpose of OSPF Graceful Shutdown?,"To signal to OSPF neighbors that a router is going down for maintenance, allowing them to recalculate paths without immediately marking it as down."
What does IS-IS stand for?,IS-IS stands for Intermediate System to Intermediate System.
Is IS-IS an IGP or an EGP?,IS-IS is an IGP (Interior Gateway Protocol).
What type of routing protocol is IS-IS?,"IS-IS is a link-state routing protocol, similar to OSPF."
What is the primary original purpose of IS-IS?,To route CLNS (Connectionless Network Service) traffic. It was later extended for IP routing.
What is the full name of the IS-IS standard?,ISO/IEC 10589.
What transport layer does IS-IS use?,"IS-IS directly uses Layer 2 (Data Link Layer) framing, typically running on Ethernet or other data links. It doesn't use IP, TCP, or UDP."
What is the IS-IS metric based on?,"The IS-IS metric is based on 'cost,' which is a configurable value for each interface."
What is the default IS-IS metric value?,The default metric for an interface is typically 10 (on Cisco devices) or similar small integer.
What are the two main levels in IS-IS hierarchy?,Level 1 (L1) and Level 2 (L2).
What is a Level 1 (L1) router in IS-IS?,An L1 router exchanges routing information only within its own IS-IS area.
What is a Level 2 (L2) router in IS-IS?,An L2 router exchanges routing information between IS-IS areas and potentially with external networks (like the internet).
What is a Level 1/Level 2 (L1/L2) router in IS-IS?,An L1/L2 router maintains two separate Link-State Databases (LSDBs) – one for its L1 area and one for the L2 backbone.
How does an L1 router reach destinations outside its area?,"It sends traffic to the nearest L1/L2 router, which acts as a default gateway out of the area."
What is an IS-IS area?,"An IS-IS area is a logical grouping of routers and networks, forming a hierarchical routing domain."
What is the equivalent of OSPF's Area 0 in IS-IS?,There isn't a single equivalent area number; the L2 backbone effectively acts as the inter-area routing domain.
What are the main IS-IS PDU (Protocol Data Unit) types?,"Hello PDUs (IIHs), Link-State PDUs (LSPs), Sequence Number PDUs (SNPs)."
What is the purpose of IS-IS Hello PDUs (IIHs)?,"To discover neighbors, establish adjacencies, and maintain the neighbor relationship."
What is the purpose of IS-IS Link-State PDUs (LSPs)?,"To carry link-state information (router interfaces, neighbors, metrics) within an area or the L2 backbone."
What are the two types of SNPs (Sequence Number PDUs)?,CSNPs (Complete SNPs) and PSNPs (Partial SNPs).
What is the purpose of CSNPs?,To summarize the contents of the LSDB to ensure all neighbors have synchronized information.
What is the purpose of PSNPs?,To request specific LSPs from a neighbor or acknowledge the receipt of specific LSPs.
What is the equivalent of OSPF's DR/BDR in IS-IS?,The Designated Intermediate System (DIS).
How is the DIS elected in IS-IS?,"Based on the highest IS-IS priority. If priorities are equal, then the highest MAC address (on broadcast networks)."
What is the primary function of the DIS?,"To generate a pseudo-node LSP (similar to OSPF's Type 2 LSA) representing the broadcast segment, and to ensure reliable LSP flooding."
What is a Link State Database (LSDB) in IS-IS?,"A topological map of the network, containing all the LSPs flooded within an area or the L2 backbone."
What is an NSAP (Network Service Access Point) address in IS-IS?,"A hierarchical addressing scheme used to uniquely identify network entities (routers, hosts) within an IS-IS domain."
What are the components of an NSAP address in IS-IS?,"Area ID, System ID, and N-Selector."
What is the Area ID in an IS-IS NSAP?,Identifies the IS-IS area to which the router belongs. All routers in the same area share the same Area ID.
What is the System ID in an IS-IS NSAP?,A unique 48-bit identifier for a specific router within an IS-IS area (often derived from the router's MAC address or Loopback IP).
What is the N-Selector in an IS-IS NSAP?,A single byte (typically 0x00) that identifies a specific network service access point on the system.
What is the SPF (Shortest Path First) algorithm in IS-IS?,The algorithm (Dijkstra's) used to calculate the shortest path to all destinations based on the LSDB.
When does the SPF algorithm run in IS-IS?,"Whenever there is a change in the LSDB (e.g., link state change, LSA update)."
How does IS-IS handle route summarization?,"Summarization can be done at L1/L2 routers when advertising routes between levels, or at L2 routers for external routes."
What is route leaking in IS-IS?,Advertising L2 routes back into an L1 area (typically done to provide more specific routing than the default L1 gateway).
What types of networks does IS-IS support?,"Broadcast (Ethernet), Point-to-Point, and Non-Broadcast Multi-Access (NBMA)."
How does IS-IS differ from OSPF in terms of network type configuration?,"IS-IS often discovers network types automatically, while OSPF requires explicit configuration for some types."
What is the `set-overload-bit` command in IS-IS?,"It instructs a router to set the overload bit in its LSPs, causing other routers to avoid using it for transit traffic (e.g., during maintenance)."
What is the default metric for IS-IS?,"Typically a 'narrow' metric, ranging from 1 to 63."
What is 'wide metrics' in IS-IS?,"An extension that allows for larger metric values (up to 2^24-1), supporting higher bandwidth links and more precise cost calculation."
What is the purpose of IS-IS authentication?,"To verify the identity of IS-IS neighbors and LSPs, preventing unauthorized routers from participating or injecting false information."
What are the IS-IS authentication types?,Plaintext and MD5 (Message Digest 5).
What is the `hello-interval` in IS-IS?,The frequency at which Hello PDUs are sent to discover and maintain neighbors.
What is the `holdtime` (or `dead-interval`) in IS-IS?,The time a router will wait for a Hello PDU from a neighbor before declaring the neighbor down.
What command is used to check IS-IS neighbors on Cisco routers?,`show isis neighbors`.
What command is used to check the IS-IS routing table on Cisco routers?,`show ip route isis`.
What command is used to check the IS-IS link-state database on Cisco routers?,`show isis database`.
What is the purpose of `passive-interface` in IS-IS?,To include a connected network in IS-IS advertisements but prevent IS-IS PDUs from being sent out of that interface.
When should you use `passive-interface` in IS-IS?,On interfaces connected to end-user segments where no other IS-IS routers are expected.
What is the main benefit of IS-IS's direct Layer 2 operation?,"It makes it independent of IP, allowing it to route IP, CLNS, or even other protocols if extended."
How does IS-IS detect routing loops?,"Through the AS_PATH attribute (though not explicitly called that in IS-IS) and its link-state nature, which builds a loop-free SPF tree."
What is an IS-IS 'circuit type'?,"Defines whether an interface operates at Level 1, Level 2, or Level 1-2 (default L1/L2 on Cisco)."
What is the function of the `area-authentication` command in IS-IS?,It enables authentication for all IS-IS PDUs within a specific area.
What is the difference between `isis password` and `isis authentication-key`?,"`isis password` is typically for plaintext authentication, while `isis authentication-key` is used for MD5 authentication."
What is IS-IS `adjacencies stuck in init`?,"A common troubleshooting scenario where routers send Hellos but fail to establish full adjacency, often due to mismatched parameters (e.g., area ID, authentication)."
What is the role of `NET` (Network Entity Title) in IS-IS configuration?,The `NET` command defines the NSAP address(es) that the IS-IS router will use to identify itself in the IS-IS domain.
What is a common reason for IS-IS adjacency failure on broadcast networks?,"Mismatched area IDs, mismatched authentication, or DIS election issues."
Can IS-IS integrate with MPLS?,"Yes, IS-IS is widely used as the IGP in MPLS environments, distributing both IP routes and label information."
What is multi-topology IS-IS?,"An extension that allows IS-IS to calculate separate topologies and forwarding tables for different types of traffic (e.g., IPv4, IPv6, multicast)."
What is the `metric-style wide` command in IS-IS?,"It enables the use of wide metrics, allowing for larger and more granular cost values in the LSDB."
What are the advantages of IS-IS over OSPF?,"Simpler design (no Area 0 specific rules), native CLNS support, better scalability in some very large networks, simpler neighbor relationships (no DR/BDR on PtP links)."
What are the advantages of OSPF over IS-IS?,"More widespread knowledge base, clearer area numbering, direct IP operation, stricter design rules can simplify initial deployment for some."
What is IS-IS `level 1-2 router` summarization?,An L1/L2 router can summarize L1 routes before advertising them into the L2 backbone.
What is the `lsp-max-lifetime` in IS-IS?,The maximum age an LSP can remain in the LSDB before it expires and is flushed (default 1200 seconds).
How does IS-IS handle route re-origination?,"LSPs are periodically re-originated by the router that created them, even if there are no changes, to ensure freshness."
What is `mesh-group` in IS-IS?,"A configuration option to optimize LSP flooding in full mesh topologies, preventing redundant LSP advertisements to neighbors within the mesh group."
How does IS-IS converge?,"Upon a change, routers flood updated LSPs, rebuild their LSDB, and then run the SPF algorithm to recalculate shortest paths."
What is the default administrative distance for IS-IS internal routes?,115 (Cisco default).
What is the default administrative distance for IS-IS external routes?,"115 (Cisco default), but it can be changed to differentiate from internal."
What is the purpose of `distribute-list` in IS-IS?,"To filter routes from being advertised or learned by IS-IS, similar to other routing protocols."
What is the role of an IS-IS instance?,"Allows multiple independent IS-IS routing processes to run on the same router, useful for complex network segmentation."
Can IS-IS exchange IPv6 routes?,"Yes, IS-IS supports IPv6 routing via the multi-topology feature or by using an IPv6-specific address family."
What are the challenges of migrating from OSPF to IS-IS?,"Understanding the NSAP addressing scheme, different terminology, and potential differences in default behaviors (e.g., metric calculations)."
What is `lsp-refresh-interval` in IS-IS?,"How often an LSP is re-originated, even if it hasn't changed, to maintain its freshness in the LSDB (e.g., 900 seconds)."
What is the `set-attached-bit` in IS-IS?,"A bit set by an L1/L2 router in its L1 LSPs, signaling to L1-only routers that they are connected to the L2 backbone."
How does an L1 router typically send traffic to other areas?,"By routing traffic to the nearest L1/L2 router (which acts as a default gateway out of the area), indicated by the attached bit."
What does IPv4 stand for?,IPv4 stands for Internet Protocol version 4.
What is the primary function of IPv4?,IPv4 is a network layer protocol used for identifying and routing data packets across networks.
How long is an IPv4 address?,An IPv4 address is 32 bits long.
How is an IPv4 address typically represented?,"In dotted-decimal notation (e.g., 192.168.1.1)."
How many octets are in an IPv4 address?,An IPv4 address is divided into four octets.
What is the range of values for each octet in an IPv4 address?,0 to 255.
What are the two main parts of an IPv4 address?,The network portion and the host portion.
What is the purpose of the network portion of an IPv4 address?,It identifies the specific network to which a device belongs.
What is the purpose of the host portion of an IPv4 address?,It uniquely identifies a specific device (host) within that network.
What is a subnet mask?,A subnet mask is a 32-bit number that distinguishes the network portion from the host portion of an IPv4 address.
How is a subnet mask represented?,"In dotted-decimal notation (e.g., 255.255.255.0) or as a CIDR suffix (e.g., /24)."
What does CIDR stand for?,CIDR stands for Classless Inter-Domain Routing.
What is the purpose of CIDR?,To provide more flexible and efficient allocation of IP addresses than the older classful addressing system.
What does the '/24' in 192.168.1.0/24 represent?,It represents that the first 24 bits of the IP address are the network portion (the subnet mask has 24 ones).
How many usable host IP addresses are there in a /24 subnet?,254 (2^8 - 2).
Why do you subtract 2 from the total number of addresses in a subnet for usable hosts?,"One address is reserved for the network address, and one for the broadcast address."
What is the network address of a subnet?,"The first address in the subnet's range, where all host bits are zero."
What is the broadcast address of a subnet?,"The last address in the subnet's range, where all host bits are one."
What are the three main classes of IPv4 addresses (historical)?,"Class A, Class B, and Class C."
What range of IP addresses is considered Class A?,1.0.0.0 to 126.255.255.255 (first bit is 0).
What range of IP addresses is considered Class B?,128.0.0.0 to 191.255.255.255 (first two bits are 10).
What range of IP addresses is considered Class C?,192.0.0.0 to 223.255.255.255 (first three bits are 110).
What is a loopback address in IPv4?,"A special address (127.0.0.1) used to refer to the local host itself, primarily for testing network software."
What is the private IP address range for Class A?,10.0.0.0 to 10.255.255.255.
What is the private IP address range for Class B?,172.16.0.0 to 172.31.255.255.
What is the private IP address range for Class C?,192.168.0.0 to 192.168.255.255.
Why were private IP addresses introduced?,To conserve public IPv4 addresses and provide a layer of internal network segmentation.
What is Network Address Translation (NAT)?,NAT is a method of remapping one IP address space into another by modifying network address information in the IP header of packets.
What is the purpose of NAT in IPv4?,"To allow multiple devices on a private network to share a single public IP address for Internet access, conserving public IPv4 addresses."
What is PAT (Port Address Translation) also known as?,NAT Overload.
What is APIPA (Automatic Private IP Addressing)?,A feature that allows a device to automatically assign itself an IP address from the 169.254.0.0/16 range if it cannot obtain one from a DHCP server.
What is the default gateway in IPv4?,"The IP address of the router that connects a local network to other networks (e.g., the Internet)."
